Time,numa_numa_remote,numa_numa_local,numa_regular_remote,numa_regular_local,numa_reverse_remote,numa_reverse_local,regular_numa_remote,regular_numa_local,regular_regular_remote,regular_regular_local,regular_reverse_remote,regular_reverse_local
82.088796758,0,0,0,0,20738,167913,0,0,0,0,0,0
82.088847709,0,0,0,0,0,0,0,0,2936,110365,0,0
82.089109344,0,0,23537,179005,0,0,0,0,0,0,0,0
82.089131513,0,0,0,0,0,0,3373,112386,0,0,0,0
82.089517723,0,0,0,0,0,0,0,0,0,0,3056,111678
82.089568563,20249,170543,0,0,0,0,0,0,0,0,0,0
84.090937297,0,0,0,0,17547,165181,0,0,0,0,0,0
84.091013324,0,0,0,0,0,0,0,0,2950,110048,0,0
84.091279322,0,0,17534,161775,0,0,0,0,0,0,0,0
84.091318063,0,0,0,0,0,0,2843,111084,0,0,0,0
84.091681642,0,0,0,0,0,0,0,0,0,0,3305,111978
84.091749461,16910,167521,0,0,0,0,0,0,0,0,0,0
86.093095847,0,0,0,0,22237,172023,0,0,0,0,0,0
86.093184444,0,0,0,0,0,0,0,0,3185,111387,0,0
86.093453657,0,0,19465,159207,0,0,0,0,0,0,0,0
86.093494066,0,0,0,0,0,0,2859,110810,0,0,0,0
86.093868704,0,0,0,0,0,0,0,0,0,0,4500,115711
86.093957529,21162,176132,0,0,0,0,0,0,0,0,0,0
88.0952297,0,0,0,0,19766,160255,0,0,0,0,0,0
88.095358103,0,0,0,0,0,0,0,0,3040,109891,0,0
88.095626573,0,0,22526,170548,0,0,0,0,0,0,0,0
88.095657854,0,0,0,0,0,0,2771,111236,0,0,0,0
88.096042225,0,0,0,0,0,0,0,0,0,0,3181,112345
88.096140983,19728,162549,0,0,0,0,0,0,0,0,0,0
90.097368879,0,0,0,0,21487,171935,0,0,0,0,0,0
90.097522216,0,0,0,0,0,0,0,0,3181,109379,0,0
90.097800791,0,0,17391,159612,0,0,0,0,0,0,0,0
90.097829797,0,0,0,0,0,0,2644,110473,0,0,0,0
90.098253231,0,0,0,0,0,0,0,0,0,0,4661,116738
90.098321714,18680,168550,0,0,0,0,0,0,0,0,0,0
92.099508022,0,0,0,0,20914,163813,0,0,0,0,0,0
92.099697562,0,0,0,0,0,0,0,0,3401,110441,0,0
92.099971502,0,0,22330,169529,0,0,0,0,0,0,0,0
92.099998362,0,0,0,0,0,0,3220,111211,0,0,0,0
92.10043241,0,0,0,0,0,0,0,0,0,0,3198,111917
92.100490572,21481,169149,0,0,0,0,0,0,0,0,0,0
94.101643431,0,0,0,0,22246,163461,0,0,0,0,0,0
94.101860777,0,0,0,0,0,0,0,0,3365,110135,0,0
94.102140371,0,0,19582,163533,0,0,0,0,0,0,0,0
94.102178,0,0,0,0,0,0,2702,109745,0,0,0,0
94.102642488,0,0,0,0,0,0,0,0,0,0,5259,116042
94.102680295,19648,164253,0,0,0,0,0,0,0,0,0,0
96.1037859,0,0,0,0,25859,176384,0,0,0,0,0,0
96.10402193,0,0,0,0,0,0,0,0,3608,110923,0,0
96.104310958,0,0,18979,164019,0,0,0,0,0,0,0,0
96.104358533,0,0,0,0,0,0,3338,109807,0,0,0,0
96.104807545,0,0,0,0,0,0,0,0,0,0,3707,111688
96.104853767,25177,171444,0,0,0,0,0,0,0,0,0,0
98.105944918,0,0,0,0,21242,164711,0,0,0,0,0,0
98.10618724,0,0,0,0,0,0,0,0,2474,85996,0,0
98.1064714,0,0,24829,173745,0,0,0,0,0,0,0,0
98.106534532,0,0,0,0,0,0,2643,95508,0,0,0,0
98.106961687,0,0,0,0,0,0,0,0,0,0,25920412,1574318
98.107035442,21600,167419,0,0,0,0,0,0,0,0,0,0
100.108115871,0,0,0,0,22893,171662,0,0,0,0,0,0
100.108345083,0,0,0,0,0,0,0,0,24055780,29381897,0,0
100.108684906,0,0,18603,164919,0,0,0,0,0,0,0,0
100.108698823,0,0,0,0,0,0,2828754,27225900,0,0,0,0
100.108842807,0,0,0,0,0,0,0,0,0,0,1220136,2335963
100.109267847,17712,165495,0,0,0,0,0,0,0,0,0,0
102.109604773,0,0,0,0,0,0,0,0,6519660,16936740,0,0
102.110275045,0,0,0,0,19180,162088,0,0,0,0,0,0
102.110518953,0,0,0,0,0,0,2042004,973476,0,0,0,0
102.110852507,0,0,20108,164503,0,0,0,0,0,0,0,0
102.11105449,0,0,0,0,0,0,0,0,0,0,830180,2137835
102.111461778,21927,171531,0,0,0,0,0,0,0,0,0,0
104.111828583,0,0,0,0,0,0,0,0,6267785,17140260,0,0
104.11243943,0,0,0,0,21699,163027,0,0,0,0,0,0
104.112748421,0,0,0,0,0,0,1739921,898049,0,0,0,0
104.112841776,0,0,0,0,0,0,0,0,0,0,1187001,4488294
104.113015136,0,0,22501,164814,0,0,0,0,0,0,0,0
104.113648392,20494,166070,0,0,0,0,0,0,0,0,0,0
106.113603462,0,0,0,0,0,0,0,0,6164943,17857946,0,0
106.114517974,0,0,0,0,0,0,1740367,903305,0,0,0,0
106.114594925,0,0,0,0,23849,170961,0,0,0,0,0,0
106.115052537,0,0,0,0,0,0,0,0,0,0,1069609,3726071
106.115185847,0,0,18825,160839,0,0,0,0,0,0,0,0
106.115849058,21170,174898,0,0,0,0,0,0,0,0,0,0
108.115830143,0,0,0,0,0,0,0,0,5060827,17972662,0,0
108.11674152,0,0,0,0,0,0,4507103,1363766,0,0,0,0
